Symbol,Date,Time,Volume,Avg_volume,Rvol
TEM,2025-08-20,11:00,2196.0,1938.4,1.13
TEM,2025-08-20,11:02,787.0,623.6,1.26
TEM,2025-08-20,11:04,0.0,792.8,0.0
TEM,2025-08-20,11:06,317.0,798.2,0.4
TEM,2025-08-20,11:08,100.0,612.8,0.16
TEM,2025-08-20,11:10,1000.0,748.6,1.34
TEM,2025-08-20,11:12,972.0,429.8,2.26
TEM,2025-08-20,11:14,100.0,346.2,0.29
TEM,2025-08-20,11:16,525.0,165.0,3.18
TEM,2025-08-20,11:18,0.0,204.8,0.0
TEM,2025-08-20,11:20,494.0,245.0,2.02
TEM,2025-08-20,11:22,82948.0,16702.0,4.97
TEM,2025-08-20,11:24,1500.0,705.0,2.13
TEM,2025-08-20,11:26,8745.0,1926.0,4.54
TEM,2025-08-20,11:28,927.0,705.4,1.31
TEM,2025-08-20,11:30,1200.0,556.2,2.16
TEM,2025-08-20,11:32,2627.0,1050.6,2.5
TEM,2025-08-20,11:34,9224.0,1951.6,4.73
TEM,2025-08-20,11:36,74688.0,15384.6,4.85
TEM,2025-08-20,11:38,67700.0,13650.0,4.96
TEM,2025-08-20,11:40,59441.0,12028.2,4.94
TEM,2025-08-20,11:42,300.0,369.4,0.81
TEM,2025-08-20,11:44,0.0,96.6,0.0
TEM,2025-08-20,11:46,0.0,76.4,0.0
TEM,2025-08-20,11:48,100.0,68.0,1.47
TEM,2025-08-20,11:50,288.0,417.6,0.69
TEM,2025-08-20,11:52,500.0,140.0,3.57
TEM,2025-08-20,11:54,901.0,221.8,4.06
TEM,2025-08-20,11:56,1005.0,221.0,4.55
TEM,2025-08-20,11:58,591.0,118.2,5.0
TEM,2025-08-20,12:00,100.0,40.0,2.5
TEM,2025-08-20,12:02,2899.0,599.8,4.83
TEM,2025-08-20,12:04,539.0,346.6,1.56
TEM,2025-08-20,12:06,234.0,361.8,0.65
TEM,2025-08-20,12:08,1000.0,627.0,1.59
TEM,2025-08-20,12:10,0.0,60.0,0.0
TEM,2025-08-20,12:12,100.0,60.0,1.67
TEM,2025-08-20,12:14,100.0,182.2,0.55
TEM,2025-08-20,12:16,100.0,104.2,0.96
TEM,2025-08-20,12:18,200.0,209.2,0.96
TEM,2025-08-20,12:20,100.0,676.0,0.15
TEM,2025-08-20,12:22,914.0,249.8,3.66
TEM,2025-08-20,12:24,200.0,111.0,1.8
TEM,2025-08-20,12:26,0.0,201.8,0.0
TEM,2025-08-20,12:28,180.0,721.4,0.25
TEM,2025-08-20,12:30,0.0,1005.4,0.0
TEM,2025-08-20,12:32,200.0,1303.6,0.15
TEM,2025-08-20,12:34,0.0,0.0,
TEM,2025-08-20,12:36,697.0,466.2,1.5
TEM,2025-08-20,12:38,174.0,54.8,3.18
TEM,2025-08-20,12:40,0.0,175.0,0.0
TEM,2025-08-20,12:42,251.0,70.2,3.58
TEM,2025-08-20,12:44,532.0,161.6,3.29
TEM,2025-08-20,12:46,0.0,391.8,0.0
TEM,2025-08-20,12:48,851.0,718.0,1.19
TEM,2025-08-20,12:50,6334.0,1266.8,5.0
TEM,2025-08-20,12:52,600.0,169.8,3.53
TEM,2025-08-20,12:54,0.0,615.2,0.0
TEM,2025-08-20,12:56,899.0,219.8,4.09
TEM,2025-08-20,12:58,109.0,21.8,5.0
TEM,2025-08-20,13:00,0.0,340.0,0.0
TEM,2025-08-20,13:02,0.0,175.2,0.0
TEM,2025-08-20,13:04,435.0,329.4,1.32
TEM,2025-08-20,13:06,0.0,100.0,0.0
TEM,2025-08-20,13:08,615.0,203.0,3.03
TEM,2025-08-20,13:10,406.0,157.4,2.58
TEM,2025-08-20,13:12,0.0,31.0,0.0
TEM,2025-08-20,13:14,400.0,143.0,2.8
TEM,2025-08-20,13:16,0.0,160.0,0.0
TEM,2025-08-20,13:18,0.0,48.0,0.0
TEM,2025-08-20,13:20,0.0,49.0,0.0
TEM,2025-08-20,13:22,0.0,204.8,0.0
TEM,2025-08-20,13:24,0.0,140.0,0.0
TEM,2025-08-20,13:26,0.0,87.8,0.0
TEM,2025-08-20,13:28,200.0,61.6,3.25
TEM,2025-08-20,13:30,0.0,0.0,
TEM,2025-08-20,13:32,1014.0,408.8,2.48
TEM,2025-08-20,13:34,2150.0,507.0,4.24
TEM,2025-08-20,13:36,0.0,55.0,0.0
TEM,2025-08-20,13:38,0.0,97.8,0.0
TEM,2025-08-20,13:40,4341.0,1030.6,4.21
TEM,2025-08-20,13:42,100.0,284.2,0.35
TEM,2025-08-20,13:44,325.0,65.0,5.0
TEM,2025-08-20,13:46,4535.0,959.4,4.73
